,SMILES,logS
sample_508,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,-2.86
sample_509,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,-2.87
sample_510,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.87
sample_511,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88
sample_512,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
sample_513,CC(C)CCBr,-2.89
sample_514,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-2.91
sample_515,Oc1cccc2c(O)cccc12,-2.92
sample_516,C=CCc1ccc(OC)cc1,-2.92
sample_517,NC(=O)c1ccccc1C(N)=O,-2.92
sample_518,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93
sample_519,COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,-2.93
sample_520,CCCCI,-2.96
sample_521,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96
sample_522,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98
sample_523,CCOC(=O)C=Cc1ccccc1,-3
sample_524,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3
sample_525,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,-3
sample_526,CCCCCCCCCO,-3.01
sample_527,CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.01
sample_528,C#CCCCCC,-3.01
sample_529,CCCCc1c(C)nc(NCC)nc1O,-3.02
sample_530,CCN(CC)c1ccccc1,-3.03
sample_531,CC(C)Cc1ccc(C(C)C(=O)NO)cc1,-3.04
sample_532,CCNc1nc(NC(C)C)nc(SC)n1,-3.04
sample_533,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.05
sample_534,CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05
sample_535,Clc1ccccc1Cl,-3.05
sample_536,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.07
sample_537,CCCCCBr,-3.07
sample_538,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.08
sample_539,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.09
sample_540,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09
sample_541,CCc1ccc(C)cc1,-3.11
sample_542,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11
sample_543,CCCCCCCl,-3.12
sample_544,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.12
sample_545,CCCCN(CCCC)CCCC,-3.12
sample_546,FC(F)(Cl)C(F)(F)Cl,-3.12
sample_547,C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13
sample_548,CC=Cc1ccc(OC)cc1,-3.13
sample_549,Fc1ccc(I)cc1,-3.13
sample_550,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-3.14
sample_551,BrC(Br)(Br)Br,-3.14
sample_552,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,-3.14
sample_553,CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14
sample_554,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
sample_555,O=C(Nc1ccccc1)Nc1ccccc1,-3.15
sample_556,O=C(Oc1ccccc1)c1ccccc1O,-3.15
sample_557,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.18
sample_558,Sc1nc2ccccc2s1,-3.18
sample_559,CCCCC,-3.18
sample_560,Cc1cccc(C)c1C,-3.2
sample_561,Clc1cccc(Br)c1,-3.21
sample_562,CCc1ccccc1C,-3.21
sample_563,O=C(O)C(c1ccccc1)c1ccccc1,-3.22
sample_564,IC=CI,-3.22
sample_565,C=CCCCC,-3.23
sample_566,Nc1ccc(Cl)c(Cl)c1,-3.24
sample_567,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
sample_568,CC(=O)Nc1ccc(I)cc1,-3.25
sample_569,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26
sample_570,CCCCCOC(=O)c1ccc(N)cc1,-3.26
sample_571,COC(=O)c1cc(Cl)cc(N)c1Cl,-3.26
sample_572,CCCCCNCCOC(=O)c1ccc(N)cc1,-3.27
sample_573,O=C(O)c1cccc(I)c1,-3.27
sample_574,CC1=CCCCC1,-3.27
sample_575,CC(C)c1ccccc1,-3.27
sample_576,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-3.28
sample_577,CNC(=O)Oc1cccc2ccccc12,-3.28
sample_578,CC1CCCC1,-3.3
sample_579,Cc1occc1C(=O)Nc1ccccc1,-3.3
sample_580,O=C(O)c1cc(I)cc(I)c1O,-3.31
sample_581,O=C(O)c1ccc(Cl)cc1,-3.31
sample_582,CCCCCCCCC(C)=O,-3.31
sample_583,Cc1ccc(C)c(C)c1,-3.31
sample_584,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32
sample_585,N#Cc1cc(Br)c(O)c(Br)c1,-3.33
sample_586,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35
sample_587,c1ccc2c(c1)ccc1ncccc12,-3.36
sample_588,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
sample_589,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.37
sample_590,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.37
sample_591,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.37
sample_592,CCCc1ccccc1,-3.37
sample_593,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37
sample_594,CCCCCCCC(=O)OC,-3.39
sample_595,C=C(Cl)CSC(=S)N(CC)CC,-3.39
sample_596,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-3.39
sample_597,CN(C)CCC=C1c2ccccc2COc2ccccc21,-3.4
sample_598,C=CCCCCCCCCC(=O)O,-3.4
sample_599,Cc1cc(C)cc(C)c1,-3.4
sample_600,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42
sample_601,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43
sample_602,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43
sample_603,CCCCCCCCCC(=O)O,-3.44
sample_604,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46
sample_605,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.48
sample_606,CCCCOC(=O)c1ccccc1,-3.48
sample_607,Oc1ccc(-c2ccccc2)cc1,-3.48
sample_608,Brc1ccccc1Br,-3.5
sample_609,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-3.51
sample_610,c1ccc(Nc2ccccc2)cc1,-3.51
sample_611,C1CCCCCC1,-3.52
sample_612,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.52
sample_613,Cc1cccc(Br)c1,-3.52
sample_614,Cc1ccccc1Cl,-3.52
sample_615,O=[N+]([O-])c1cccc2ccccc12,-3.54
sample_616,CCC(C)(C)C,-3.55
sample_617,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57
sample_618,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-3.59
sample_619,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59
sample_620,Clc1ccc(Cl)c(Cl)c1,-3.59
sample_621,O=C(Nc1ccccc1)c1ccccc1O,-3.59
sample_622,c1ccc2ccccc2c1,-3.6
sample_623,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,-3.6
sample_624,N#Cc1cc(I)c(O)c(I)c1,-3.61
sample_625,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61
sample_626,CCCCCCCCCCO,-3.63
sample_627,Clc1ccc(Br)cc1,-3.63
sample_628,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.64
sample_629,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-3.64
sample_630,CNCCCN1c2ccccc2CCc2ccccc21,-3.66
sample_631,C#CCCCCCC,-3.66
sample_632,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
sample_633,O=C(O)CCCOc1ccc(Cl)cc1Cl,-3.67
sample_634,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.68
sample_635,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,-3.68
sample_636,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.69
sample_637,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.69
sample_638,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-3.7
sample_639,Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1,-3.7
sample_640,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,-3.71
sample_641,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.73
sample_642,CCCC(C)C,-3.74
sample_643,CCc1ccc(CC)cc1,-3.75
sample_644,O=NN(c1ccccc1)c1ccccc1,-3.75
sample_645,COC(=O)C(Cl)Cc1ccc(Cl)cc1,-3.77
sample_646,Cc1ccc2ccccc2c1,-3.77
sample_647,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78
sample_648,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79
sample_649,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.8
sample_650,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.81
sample_651,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.81
sample_652,CCCCCCBr,-3.81
sample_653,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,-3.82
sample_654,CCCCOc1ccc(C(=O)OCCN(CC)CC)cc1,-3.84
sample_655,CCC(C)c1ccccc1,-3.89
sample_656,Clc1cccc2ccccc12,-3.93
sample_657,CCCCCCOC(=O)c1ccc(N)cc1,-3.95
sample_658,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.95
sample_659,C1=Cc2cccc3cccc1c23,-3.96
sample_660,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.96
sample_661,Cc1ccnc2c1ccc1c(C)ccnc12,-3.97
sample_662,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,-3.98
sample_663,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-3.99
sample_664,CCNc1nc(NC(C)(C)C)nc(SC)n1,-4
sample_665,C=C(C)C1CC=C(C)CC1,-4
sample_666,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02
sample_667,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.04
sample_668,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06
sample_669,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.08
sample_670,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.08
sample_671,CCCCCCCCCC(=O)OCC,-4.1
sample_672,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.1
sample_673,CC1CCCCC1NC(=O)Nc1ccccc1,-4.11
sample_674,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,-4.11
sample_675,CC(C)Cc1ccccc1,-4.12
sample_676,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12
sample_677,Cc1ccc(C)c2ccccc12,-4.14
sample_678,Clc1ccc2ccccc2c1,-4.14
sample_679,CCC(C)(C)c1ccccc1,-4.15
sample_680,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.15
sample_681,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.16
sample_682,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-4.16
sample_683,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.16
sample_684,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.16
sample_685,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.16
sample_686,CCc1cccc2ccccc12,-4.17
sample_687,c1ccc(Cc2ccccc2)cc1,-4.17
sample_688,COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,-4.18
sample_689,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.19
sample_690,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19
sample_691,O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,-4.19
sample_692,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2
sample_693,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-4.21
sample_694,O=C(Nc1ccccc1)c1ccccc1I,-4.21
sample_695,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,-4.22
sample_696,Nc1cccc2nc3ccccc3cc12,-4.22
sample_697,CCOP(=S)(OCC)SCCSCC,-4.23
sample_698,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24
sample_699,N#Cc1c(Cl)cccc1Cl,-4.24
sample_700,C#CCCCCCCC,-4.24
sample_701,CCC1CCCCC1,-4.25
sample_702,CC(C)CC(C)C,-4.26
sample_703,CC1CCCCC1C,-4.27
sample_704,Cc1cc(C)c2ccccc2c1,-4.29
sample_705,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.3
sample_706,COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.31
sample_707,CCCCCCCCCCCCCCC(=O)O,-4.31
sample_708,c1ccc(-c2ccccc2)cc1,-4.31
sample_709,CC1CCCCC1C,-4.33
sample_710,Brc1cccc2ccccc12,-4.35
sample_711,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CC(O)C12C,-4.35
sample_712,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.35
sample_713,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,-4.36
sample_714,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.37
sample_715,O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.37
sample_716,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.4
sample_717,Brc1ccc2ccccc2c1,-4.4
sample_718,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.4
sample_719,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
sample_720,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.43
sample_721,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
sample_722,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.44
sample_723,C=CCCCCCC,-4.44
sample_724,c1ccc(N=Nc2ccccc2)cc1,-4.45
sample_725,CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,-4.46
sample_726,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46
sample_727,CC1CCC(C)CC1,-4.47
sample_728,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.49
sample_729,Brc1ccc(Br)c(Br)c1,-4.5
sample_730,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.51
sample_731,CCCCCCC,-4.53
sample_732,Clc1ccccc1-c1ccccc1,-4.54
sample_733,CCNc1nc(Cl)nc(NCC)n1,-4.55
sample_734,Clc1ccc(Cl)c(Cl)c1Cl,-4.57
sample_735,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.57
sample_736,CCCCCCCOC(=O)c1ccc(N)cc1,-4.6
sample_737,S=C=Nc1cccc2ccccc12,-4.6
sample_738,c1ccc2c(c1)oc1ccccc12,-4.6
sample_739,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-4.61
sample_740,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.62
sample_741,CCCCCCCCCCCC(=O)O,-4.62
sample_742,CCCCCCCCCC(=O)OC,-4.63
sample_743,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
sample_744,c1cc2c3c(cccc3c1)CC2,-4.63
sample_745,CCCCCc1ccccc1,-4.64
sample_746,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.66
sample_747,CCCCCCCCCCCCO,-4.67
sample_748,CCCCCCCCCCCC(=O)OC,-4.69
sample_749,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.7
sample_750,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7
sample_751,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.71
sample_752,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71
sample_753,CCCC1CCCC1,-4.74
sample_754,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,-4.74
sample_755,Cc1cccc2c(C)cccc12,-4.74
sample_756,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
sample_757,CCCCCCCI,-4.81
sample_758,Cc1cccc(Oc2cccc(C)c2)c1,-4.85
sample_759,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
sample_760,Clc1cccc(-c2ccccc2)c1,-4.88
sample_761,CC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9
sample_762,c1ccc2c(c1)Cc1ccccc1-2,-4.91
sample_763,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,-4.92
sample_764,Cc1ccc(C)c2c(C)cccc12,-4.92
sample_765,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93
sample_766,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95
sample_767,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.95
sample_768,c1ccc2c(c1)[nH]c1ccccc12,-4.97
sample_769,Clc1cc(Cl)c2nsnc2c1Cl,-4.98
sample_770,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-5.01
sample_771,O=C1C(Cl)=C(NC(=O)C(Cl)Cl)C(=O)c2ccccc21,-5.03
sample_772,Brc1cccc(Br)c1Br,-5.04
sample_773,C=CCCCCCCC,-5.05
sample_774,CCCCCCCCBr,-5.06
sample_775,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,-5.06
sample_776,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-5.09
sample_777,CCCCSP(=O)(SCCCC)SCCCC,-5.14
sample_778,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-5.15
sample_779,Nc1ccc2cc3ccccc3cc2c1,-5.17
sample_780,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,-5.18
sample_781,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
sample_782,O=C1c2ccccc2C(=O)c2ccccc21,-5.19
sample_783,Clc1cccc(Cl)c1-c1ccccc1,-5.21
sample_784,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,-5.22
sample_785,Cc1cccc2c1Cc1ccccc1-2,-5.22
sample_786,CCCCCCCC,-5.24
sample_787,Clc1ccc(-c2ccccc2)c(Cl)c1,-5.25
sample_788,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27
sample_789,Clc1ccccc1-c1ccccc1Cl,-5.27
sample_790,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.28
sample_791,Clc1ccc(-c2ccccc2Cl)cc1,-5.28
sample_792,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,-5.3
sample_793,c1ccc2c(c1)Oc1ccccc1O2,-5.31
sample_794,CCCCCCCCCCCCCC(=O)O,-5.33
sample_795,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35
sample_796,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37
sample_797,CCCCCCCCOC(=O)c1ccc(N)cc1,-5.4
sample_798,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4
sample_799,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.4
sample_800,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41
sample_801,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43
sample_802,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46
sample_803,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47
sample_804,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.47
sample_805,CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-5.51
sample_806,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.53
sample_807,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
sample_808,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)C=Cc1ccccc1,-5.54
sample_809,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-5.64
sample_810,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.64
sample_811,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
sample_812,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66
sample_813,CCCCCCCCCCCCCCCCCC(=O)O,-5.68
sample_814,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.69
sample_815,CC12CCC3C(CCC4CCCCC43C)C1CCC2=O,-6.7
sample_816,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
sample_817,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82
sample_818,c1ccc2c(c1)-c1cccc3cccc-2c13,-6
sample_819,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01
sample_820,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.02
sample_821,CCCCCCCCCCCCCCO,-6.05
sample_822,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-6.14
sample_823,c1cc2ccc3cccc4ccc(c1)c2c34,-6.19
sample_824,Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2
sample_825,Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25
sample_826,Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.26
sample_827,Clc1cc(Cl)c(-c2ccccc2)cc1Cl,-6.27
sample_828,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29
sample_829,Clc1ccc(-c2ccccc2Cl)cc1Cl,-6.29
sample_830,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
sample_831,c1ccc2cc3ccccc3cc2c1,-6.35
sample_832,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,-6.36
sample_833,Clc1ccc(-c2ccccc2)cc1Cl,-6.39
sample_834,Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47
sample_835,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51
sample_836,Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56
sample_837,Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57
sample_838,Cc1c2ccccc2c(C)c2ccccc12,-6.57
sample_839,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
sample_840,c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68
sample_841,c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74
sample_842,Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,-6.8
sample_843,CCc1ccc2cc3ccccc3cc2c1,-6.89
sample_844,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9
sample_845,Cc1ccc2cc3ccccc3cc2c1,-6.96
sample_846,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02
sample_847,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11
sample_848,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2
sample_849,Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,-7.21
sample_850,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25
sample_851,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28
sample_852,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,-7.32
sample_853,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32
sample_854,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.39
sample_855,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39
sample_856,c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21,-7.42
sample_857,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.42
sample_858,Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,-7.43
sample_859,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,-7.66
sample_860,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68
sample_861,Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,-7.8
sample_862,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.82
sample_863,Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92
sample_864,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,-7.92
sample_865,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,-7.92
